drug,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2,her2_pathway_overlap_jaccard,n_shared_pathways_her2,her2_pathway_enrichment_similarity,n_families_her2,n_targets_with_family_her2
CHEMBL1987,6,0.0004830226077117,0.000591415289828,0.0028981356462705,0.0033783783783783,6,0.0367686147046002,1,1
CHEMBL1988,3,0.0004241782411827,0.0004573696539163,0.0012725347235483,0.0016910935738444,3,0.0263640767293814,1,1
CHEMBL1989,12,0.0004596336361962,0.0005145978562165,0.0055156036343551,0.0067567567567567,12,0.0528971877737522,1,1
CHEMBL1991,82,0.0006253571958944,0.001022318629233,0.0512792900633428,0.0462232243517474,82,0.2032069841112418,1,1
CHEMBL1992,15,0.0005031102651455,0.0005915486887906,0.0075466539771825,0.0084459459459459,15,0.0656800582712179,1,1
CHEMBL1993,20,0.0005617127823618,0.0007791803970895,0.0112342556472366,0.0112612612612612,20,0.0859481463433009,1,1
CHEMBL1994,12,0.000559272890065,0.0007087246690573,0.0067112746807808,0.0067643742953776,12,0.0695213094628553,1,1
CHEMBL1995,9,0.0004762606410273,0.0005446992870151,0.004286345769246,0.0050675675675675,9,0.0463761200512572,1,1
CHEMBL1996,8,0.0005685105846286,0.0006835199965514,0.0045480846770292,0.0045095828635851,8,0.0577014997033663,1,1
CHEMBL1997,4,0.0004170580272291,0.0004654490590626,0.0016682321089165,0.0022509848058525,4,0.0226261680535271,1,1
CHEMBL2000,9,0.0004342625579263,0.0005446992870151,0.0039083630213374,0.0050675675675675,9,0.0422865355338187,1,1
CHEMBL2001,10,0.0005006701423981,0.0006740722549982,0.0050067014239814,0.0056306306306306,10,0.0518638344637433,1,1
CHEMBL2002,12,0.0005041199023147,0.0005772331246023,0.0060494388277775,0.0067567567567567,12,0.0580169139793885,1,1
CHEMBL2004,7,0.0005427718529443,0.000626279079074,0.0037994029706102,0.0039458850056369,7,0.0515311566397818,1,1
CHEMBL2008,10,0.0005423838723435,0.000626279079074,0.0054238387234353,0.0056369785794813,10,0.0615474862485529,1,1
CHEMBL2014,7,0.0004517062830324,0.0005267415572554,0.0031619439812271,0.0039458850056369,7,0.0428853248374066,1,1
CHEMBL2015,23,0.0005470784553367,0.0007516865291094,0.0125828044727459,0.0129650507328072,23,0.0941492972287984,1,1
CHEMBL202,10,0.0005392308218352,0.0007531305817134,0.0053923082183522,0.0056338028169014,10,0.0583420812856352,1,1
CHEMBL2023,10,0.000486003680813,0.0005772331246023,0.00486003680813,0.0056211354693648,10,0.0450295369986243,1,1
CHEMBL203,78,0.000750762098222,0.0012178412415271,0.0585594436613214,0.0439684329199549,78,0.2379321852435786,1,1
CHEMBL2033,10,0.0004482572153197,0.0005106120661872,0.004482572153197,0.0056274620146314,10,0.0446127675257403,1,1
CHEMBL2034,28,0.0005492093928955,0.0007273912437169,0.0153778630010766,0.0157835400225479,28,0.1042846827808745,1,1
CHEMBL2035,8,0.0004424891218515,0.000591415289828,0.0035399129748124,0.0045095828635851,8,0.0449108365325087,1,1
CHEMBL2039,3,0.0004296036455926,0.0004827084140595,0.0012888109367779,0.0016891891891891,3,0.0206827252695492,1,1
CHEMBL2040,2,0.000601118302271,0.000657537317527,0.0012022366045421,0.0011273957158962,2,0.0305055248556533,1,1
CHEMBL2044,4,0.0004693494716731,0.0004950294023541,0.0018773978866926,0.0022535211267605,4,0.030128317198468,1,1
CHEMBL2045,4,0.0004672506264396,0.0005376933654451,0.0018690025057586,0.0022509848058525,4,0.025349209238769,1,1
CHEMBL2049,7,0.0004700817472259,0.000591415289828,0.0032905722305815,0.0039436619718309,7,0.0417474532841851,1,1
