drug,tnbc_pathway_overlap_jaccard,n_shared_pathways_tnbc
CHEMBL227,0.006193693693693694,11
CHEMBL228,0.0022484541877459247,4
CHEMBL229,0.005067567567567568,9
CHEMBL230,0.009572072072072071,17
CHEMBL231,0.0039392234102419805,7
CHEMBL232,0.005067567567567568,9
CHEMBL2326,0.0005627462014631402,1
CHEMBL2327,0.0039392234102419805,7
CHEMBL2335,0.0033783783783783786,6
CHEMBL235,0.016891891891891893,30
CHEMBL236,0.006193693693693694,11
CHEMBL2360,0.003368893879842785,6
CHEMBL237,0.006756756756756757,12
CHEMBL238,0.003367003367003367,6
CHEMBL2388,0.0016882386043894203,3
CHEMBL239,0.018581081081081082,33
CHEMBL2392,0.005621135469364812,10
CHEMBL2399,0.008983717012914094,16
CHEMBL240,0.0028137310073157004,5
CHEMBL2401,0.007315700619020821,13
CHEMBL241,0.0022522522522522522,4
CHEMBL2412,0.03209459459459459,57
CHEMBL2413,0.006756756756756757,12
CHEMBL2414,0.0045045045045045045,8
CHEMBL2419,0.0022509848058525606,4
CHEMBL242,0.009009009009009009,16
CHEMBL2421,0.003941441441441441,7
CHEMBL2428,0.003941441441441441,7
CHEMBL2430,0.0033783783783783786,6
CHEMBL2433,0.0016891891891891893,3
CHEMBL2434,0.006193693693693694,11
CHEMBL2438,0.0016891891891891893,3
CHEMBL2439,0.0022509848058525606,4
CHEMBL244,0.006726457399103139,12
CHEMBL2441,0.0016891891891891893,3
CHEMBL2442,0.006193693693693694,11
CHEMBL2443,0.0033783783783783786,6
CHEMBL2447,0.0011242270938729624,2
CHEMBL245,0.006756756756756757,12
CHEMBL2457,0.002815315315315315,5
CHEMBL246,0.0045045045045045045,8
CHEMBL2465,0.0011248593925759281,2
CHEMBL2468,0.0016882386043894203,3
CHEMBL2469,0.0011248593925759281,2
CHEMBL2476,0.0045045045045045045,8
CHEMBL2478,0.0,0
CHEMBL248,0.009566685424873381,17
CHEMBL2484,0.0016853932584269663,3
CHEMBL2487,0.037162162162162164,66
CHEMBL249,0.0061902082160945416,11
CHEMBL2490,0.0039392234102419805,7
CHEMBL2492,0.0016863406408094434,3
CHEMBL2493,0.0033764772087788407,6
CHEMBL2494,0.018570624648283626,33
CHEMBL2498,0.07713963963963964,137
CHEMBL250,0.007882882882882882,14
CHEMBL2502,0.002815315315315315,5
CHEMBL2503,0.0016882386043894203,3
CHEMBL2506,0.08783783783783784,156
CHEMBL2508,0.015765765765765764,28
CHEMBL251,0.006745362563237774,12
CHEMBL2514,0.003941441441441441,7
CHEMBL2517,0.0016891891891891893,3
CHEMBL252,0.003941441441441441,7
CHEMBL2524,0.003374578177727784,6
CHEMBL2527,0.013513513513513514,24
CHEMBL253,0.0033783783783783786,6
CHEMBL2531,0.0022522522522522522,4
CHEMBL2534,0.0421822272215973,75
CHEMBL2536,0.008993816750983699,16
CHEMBL254,0.003941441441441441,7
CHEMBL255,0.007869589657110737,14
CHEMBL2552,0.003941441441441441,7
CHEMBL2553,0.0281214848143982,50
CHEMBL2559,0.002815315315315315,5
CHEMBL256,0.003374578177727784,6
CHEMBL2575,0.005627462014631401,10
CHEMBL258,0.029842342342342343,53
CHEMBL2581,0.009566685424873381,17
CHEMBL2582,0.03490990990990991,62
CHEMBL259,0.00563063063063063,10
CHEMBL2595,0.0016882386043894203,3
CHEMBL2597,0.041969781757134866,75
CHEMBL2599,0.026463963963963964,47
CHEMBL2600,0.010135135135135136,18
CHEMBL2608,0.00562429696287964,10
CHEMBL2609,0.0016891891891891893,3
CHEMBL2626,0.006749156355455568,12
CHEMBL2632,0.015765765765765764,28
CHEMBL2634,0.019707207207207207,35
CHEMBL264,0.0028137310073157004,5
CHEMBL2641,0.0016891891891891893,3
CHEMBL2650,0.009566685424873381,17
CHEMBL2652,0.0045045045045045045,8
CHEMBL2655,0.0259009009009009,46
CHEMBL2656,0.0011254924029262803,2
CHEMBL267,0.0945945945945946,168
CHEMBL268,0.007878446820483961,14
CHEMBL2692,0.0016891891891891893,3
CHEMBL271,0.01295045045045045,23
CHEMBL2736,0.005067567567567568,9
CHEMBL274,0.010698198198198198,19
CHEMBL275,0.0033783783783783786,6
CHEMBL2754,0.018018018018018018,32
CHEMBL278,0.009572072072072071,17
CHEMBL279,0.010135135135135136,18
CHEMBL2796,0.005621135469364812,10
CHEMBL280,0.006193693693693694,11
CHEMBL281,0.0011235955056179776,2
CHEMBL2835,0.03153153153153153,56
CHEMBL2847,0.018581081081081082,33
CHEMBL2849,0.009009009009009009,16
CHEMBL2882,0.0039392234102419805,7
CHEMBL2883,0.003937007874015748,7
CHEMBL2885,0.0005627462014631402,1
CHEMBL2886,0.005627462014631401,10
CHEMBL2887,0.0072992700729927005,13
CHEMBL2888,0.0033783783783783786,6
CHEMBL2896,0.012387387387387387,22
CHEMBL2897,0.020833333333333332,37
CHEMBL2918,0.04448198198198198,79
CHEMBL2938,0.015202702702702704,27
CHEMBL2940,0.005067567567567568,9
CHEMBL2959,0.003941441441441441,7
CHEMBL2960,0.028716216216216218,51
CHEMBL2963,0.0022522522522522522,4
CHEMBL2964,0.019122609673790775,34
CHEMBL2971,0.0365990990990991,65
CHEMBL2972,0.0022522522522522522,4
