drug,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc,tnbc_pathway_overlap_jaccard,n_shared_pathways_tnbc,tnbc_pathway_enrichment_similarity,n_families_tnbc,n_targets_with_family_tnbc
CHEMBL1950,7,0.0004830693954694,0.0005340445333531,0.0033814857682863,0.0039392234102419,7,0.0004830693954694,1,1
CHEMBL1951,13,0.0004819319829463,0.0005773690305196,0.0062651157783026,0.0072788353863381,13,0.0004819319829463,1,1
CHEMBL1952,8,0.0005240017647799,0.0005779818484811,0.0041920141182397,0.0045045045045045,8,0.0005240017647799,0,0
CHEMBL1957,14,0.0006026712760892,0.0007525872165725,0.0084373978652501,0.0078828828828828,14,0.0006026712760892,1,1
CHEMBL1958,6,0.0004722250379981,0.0005043894392236,0.0028333502279887,0.0033764772087788,6,0.0004722250379981,1,1
CHEMBL1959,11,0.0005469646684968,0.0006813541149564,0.0060166113534652,0.0061936936936936,11,0.0005469646684968,1,1
CHEMBL1962,7,0.0005305850386252,0.0008031264859969,0.0037140952703765,0.0039414414414414,7,0.0005305850386251,1,1
CHEMBL1963,6,0.0004733075810867,0.0005491911751487,0.0028398454865205,0.0033764772087788,6,0.0004733075810867,1,1
CHEMBL1966,2,0.0004904888349882,0.0005019766577784,0.0009809776699765,0.0011248593925759,2,0.0004904888349882,1,1
CHEMBL1968,3,0.0004290634253972,0.0004790010121981,0.0012871902761916,0.0016891891891891,3,0.0004290634253972,1,1
CHEMBL1969,3,0.0006468555297338,0.0007519097872204,0.0019405665892015,0.0016882386043894,3,0.0006468555297338,1,1
CHEMBL1970,7,0.000494197520185,0.0006175026472933,0.0034593826412951,0.0039325842696629,7,0.0004941975201849,1,1
CHEMBL1971,11,0.0005355324418078,0.0008106735657093,0.0058908568598862,0.0061867266591676,11,0.0005355324418078,1,1
CHEMBL1972,17,0.0004953111949427,0.0005682707195867,0.0084202903140274,0.009572072072072,17,0.0004953111949427,1,1
CHEMBL1975,10,0.0005679077174039,0.0006988080319964,0.0056790771740395,0.0056306306306306,10,0.0005679077174039,1,1
CHEMBL1976,4,0.0005484453996777,0.0005760236835499,0.0021937815987108,0.0022522522522522,4,0.0005484453996777,1,1
CHEMBL1977,13,0.0005142821457751,0.0005994576540304,0.0066856678950763,0.0073198198198198,13,0.000514282145775,1,1
CHEMBL1978,10,0.0004488779575796,0.0005043894392236,0.0044887795757965,0.0056211354693648,10,0.0004488779575796,1,1
CHEMBL1981,10,0.0005744929758591,0.0007145484551045,0.0057449297585917,0.0056274620146314,10,0.0005744929758591,1,1
CHEMBL1983,7,0.000438202962421,0.0005182265072725,0.0030674207369474,0.0039392234102419,7,0.000438202962421,1,1
CHEMBL1985,11,0.0004831510497724,0.0005938015641085,0.0053146615474969,0.0061936936936936,11,0.0004831510497724,1,1
CHEMBL1987,6,0.0004807426459133,0.0005938015641085,0.0028844558754803,0.0033745781777277,6,0.0004807426459133,1,1
CHEMBL1988,3,0.0004117704698143,0.0004259008439356,0.0012353114094431,0.0016891891891891,3,0.0004117704698143,1,1
CHEMBL1989,12,0.0004602019296474,0.0005166505408682,0.0055224231557691,0.0067491563554555,12,0.0004602019296473,1,1
CHEMBL1991,82,0.0006202152085598,0.0010381890292212,0.050857647101907,0.0461711711711711,82,0.0006202152085598,1,1
CHEMBL1992,15,0.0005337418330873,0.000617731095159,0.0080061274963109,0.0084364454443194,15,0.0005337418330873,1,1
CHEMBL1993,20,0.0005726336142345,0.0007769222173077,0.0114526722846902,0.0112485939257592,20,0.0005726336142344,1,1
