drug,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc
CHEMBL2109,32,0.0006181585901601582,0.0007372521905589,0.019781074885125063
CHEMBL2114,6,0.00045877805553729006,0.0005182265072725687,0.0027526683332237405
CHEMBL2116,41,0.0005854547061776759,0.0013890700171119,0.024003642953284714
CHEMBL2117,36,0.0005883226023728124,0.0013890700171119,0.021179613685421247
CHEMBL212,36,0.0006107669228181524,0.0008258782208719833,0.021987609221453486
CHEMBL2120,69,0.0006789096853410459,0.00107247119347682,0.046844768288532165
CHEMBL2121,10,0.0004434465271312375,0.000543984260606814,0.004434465271312375
CHEMBL2123,6,0.00045877805553729006,0.0005182265072725687,0.0027526683332237405
CHEMBL2127,6,0.00048572773035620524,0.0006222342507034,0.0029143663821372314
CHEMBL213,8,0.00043413346621835,0.0005491911751487,0.0034730677297468
CHEMBL2131,3,0.0006918765597798523,0.0008869728773584,0.0020756296793395567
CHEMBL2139,2,0.000510138682649793,0.0005193316872933667,0.001020277365299586
CHEMBL2147,14,0.0005807668033942398,0.0008422796906484999,0.008130735247519357
CHEMBL2148,24,0.0005458360988118764,0.0007769222173077666,0.013100066371485032
CHEMBL215,19,0.000439080445027281,0.0006592611060193067,0.008342528455518338
CHEMBL2156,3,0.0004117704698143908,0.00042590084393565,0.0012353114094431723
CHEMBL2158,5,0.0006353365631697324,0.0008645226547058,0.003176682815848662
CHEMBL2159,5,0.0004733846426697963,0.00050197665777845,0.0023669232133489817
CHEMBL216,8,0.0004387804058936074,0.0005938015641085593,0.0035102432471488592
CHEMBL2160,8,0.0004907098910022429,0.0005673045318414598,0.003925679128017943
CHEMBL2161,6,0.0003830509563529114,0.0004790010121981064,0.0022983057381174682
CHEMBL2164,26,0.0005583792738946987,0.00071533176511,0.014517861121262165
CHEMBL2167,142,0.0007699521215539547,0.00114064673856395,0.10933320126066157
CHEMBL217,5,0.0004174360415645863,0.000505575677914468,0.0020871802078229313
CHEMBL2171,48,0.0006369175653846455,0.0015873869691749001,0.030572043138462988
CHEMBL218,6,0.00045877805553729006,0.0005182265072725687,0.0027526683332237405
CHEMBL2182,7,0.00043820296242106293,0.0005182265072725687,0.0030674207369474405
CHEMBL2184,6,0.0004585147880109832,0.0005054886485959464,0.0027510887280658993
CHEMBL2185,34,0.0005431433789287127,0.00064412186284148,0.01846687488357623
CHEMBL219,7,0.00043820296242106293,0.0005182265072725687,0.0030674207369474405
CHEMBL2193,9,0.00046110520233946957,0.0005673045318414598,0.004149946821055226
CHEMBL2194,5,0.00041582812276063085,0.000490427266670575,0.0020791406138031543
CHEMBL220,8,0.0004973643493212527,0.0006389875419489833,0.003978914794570022
CHEMBL2200,6,0.000489694467459725,0.000575452709275404,0.0029381668047583505
CHEMBL2202,7,0.0004285646328929378,0.0004995065325689052,0.0029999524302505645
CHEMBL2206,7,0.00042829158338617435,0.00051666627389345,0.0029980410837032205
CHEMBL221,7,0.0004037684441328652,0.0005043894392236589,0.0028263791089300563
CHEMBL222,4,0.0005273428119377244,0.0008106735657093666,0.0021093712477508976
CHEMBL223,9,0.0004381069569378913,0.0005938015641085593,0.003942962612441022
CHEMBL224,7,0.00045702975417200844,0.0005938015641085593,0.003199208279204059
CHEMBL2249,5,0.00041447603458350153,0.0005120884080463846,0.0020723801729175075
CHEMBL225,7,0.00045702975417200844,0.0005938015641085593,0.003199208279204059
CHEMBL226,6,0.00045877805553729006,0.0005182265072725687,0.0027526683332237405
CHEMBL227,11,0.0005111420649433057,0.0006452481610376538,0.005622562714376363
CHEMBL228,4,0.0004429160597146662,0.0004931057336792899,0.0017716642388586649
CHEMBL229,9,0.0004381069569378913,0.0005938015641085593,0.003942962612441022
