drug,her2_pathway_enrichment_similarity
CHEMBL3572,0.05644711732288445
CHEMBL3582,0.08114391831384887
CHEMBL3595,0.056788577577059095
CHEMBL3610,0.16508018964844962
CHEMBL3636,0.04462990484564901
CHEMBL3650,0.15664639213097964
CHEMBL3708,0.1388406266605215
CHEMBL3710,0.03513670953593571
CHEMBL3721,0.05955683754353377
CHEMBL3723,0.11416844434840208
CHEMBL3724,0.042639988738922954
CHEMBL3727,0.030574954378474826
CHEMBL3764,0.04462990484564901
CHEMBL3768,0.07038292896473586
CHEMBL3769,0.04844318521214925
CHEMBL3770,0.014543320747109158
CHEMBL3775,0.10664350333532384
CHEMBL3816,0.06964086653952686
CHEMBL3817,0.08154778356702656
CHEMBL3819,0.042639988738922954
CHEMBL3841,0.024968837065211476
CHEMBL3856,0.05325229995477672
CHEMBL3861,0.07373701521072715
CHEMBL3863,0.022963392913200903
CHEMBL3892,0.05357133465055021
CHEMBL3898,0.05210404713954142
CHEMBL3911,0.03676861470460021
CHEMBL3913,0.05725934612712884
CHEMBL3958,0.04689733538847722
CHEMBL3961,0.17400112319413175
CHEMBL3969,0.01224823255879283
CHEMBL3974,0.056247117397084836
CHEMBL4018,0.042885324837406695
CHEMBL402,0.048908857661542224
CHEMBL4068,0.05135990308347384
CHEMBL4069,0.050535883409872154
CHEMBL4071,0.09580453343607723
CHEMBL4072,0.08847587209408773
CHEMBL4074,0.025066101776662818
CHEMBL4076,0.03674506380343928
CHEMBL4121,0.15180235056544597
CHEMBL4142,0.1414368112238539
CHEMBL4237,0.13569688469982177
CHEMBL4271,0.04018506607515858
CHEMBL4273,0.07328195388396234
CHEMBL4305,0.018281793739553413
CHEMBL4306,0.02959753562471995
CHEMBL4315,0.055269018322089504
CHEMBL4330,0.05784468113236668
CHEMBL4425,0.06489191083498863
CHEMBL4429,0.04174745328418519
CHEMBL4467,0.037729924992807584
CHEMBL4469,0.02949150137839744
CHEMBL4478,0.020359053838746297
CHEMBL4549,0.11422976658639017
CHEMBL4550,0.02618791132039281
CHEMBL4551,0.06897111900097042
CHEMBL4573,0.034936394568543756
CHEMBL4589,0.02783454989788548
CHEMBL4605,0.014543320747109158
CHEMBL4607,0.042885324837406695
CHEMBL4608,0.05403510212833655
CHEMBL4617,0.03620827912214026
CHEMBL4633,0.024968837065211476
CHEMBL4708,0.02255032695421585
CHEMBL4712,0.044889330514349554
CHEMBL4714,0.03676861470460021
CHEMBL4715,0.033561934572653565
CHEMBL4716,0.03705102437628204
CHEMBL4744,0.06539323951403087
CHEMBL4761,0.07160493819624655
CHEMBL4763,0.14585980817945277
CHEMBL4770,0.023173763324780404
CHEMBL4777,0.042885324837406695
CHEMBL4790,0.06612379281760887
CHEMBL4794,0.029417991178090408
CHEMBL4805,0.07931374376681814
CHEMBL4808,0.018816744187347426
CHEMBL4811,0.014322641713805193
CHEMBL4812,0.024439311979971172
CHEMBL4813,0.04461276752574034
CHEMBL4815,0.04174745328418519
CHEMBL4816,0.1858240367903086
CHEMBL4820,0.03676861470460021
CHEMBL4829,0.04528968891602344
CHEMBL4832,0.052515209472374355
CHEMBL4833,0.021751886340302055
CHEMBL4834,0.019503185610089676
CHEMBL4835,0.07406293701132083
CHEMBL4863,0.034994747979439744
CHEMBL4865,0.07651515151124044
CHEMBL4866,0.06557693987877522
CHEMBL4867,0.04111707299848198
CHEMBL4868,0.025066101776662818
CHEMBL4869,0.05242080650439571
CHEMBL4872,0.023887772481999088
CHEMBL4873,0.03353385178896194
CHEMBL4876,0.056816650623013235
CHEMBL4878,0.04867676423770567
CHEMBL4880,0.046004885554415086
CHEMBL4881,0.03668154992452803
CHEMBL4883,0.04807610129420234
CHEMBL4892,0.04753755969273602
CHEMBL4894,0.042885324837406695
CHEMBL4924,0.0633880933621182
CHEMBL4925,0.030509908314685866
CHEMBL4928,0.12451268149228116
CHEMBL4939,0.03353385178896194
CHEMBL4940,0.056680522023025384
CHEMBL4941,0.05568752846801152
CHEMBL4942,0.032372674886988764
CHEMBL4945,0.030216949948600705
CHEMBL4947,0.027840530805129996
CHEMBL4949,0.06452316712390174
CHEMBL4977,0.18559610546825325
CHEMBL4983,0.061250174665952714
CHEMBL4985,0.01759687897474113
CHEMBL5100,0.025892655585202914
CHEMBL5103,0.09444465138340263
CHEMBL5113,0.04565713428840376
CHEMBL5135,0.03440339951309629
CHEMBL5136,0.06713440586360252
CHEMBL5444,0.10162794478842017
