drug,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2
CHEMBL2102,4,0.0010319707360873902,0.0013920415506414,0.004127882944349561
CHEMBL2104,10,0.0004889868739824058,0.0005446992870151331,0.004889868739824058
CHEMBL2105,6,0.0005595855054551494,0.0007670718705019571,0.0033575130327308965
CHEMBL2106,12,0.0005472966329271323,0.0006783527302884,0.006567559595125588
CHEMBL2107,26,0.00050390626069595,0.0006928168902318833,0.013101562778094699
CHEMBL2108,20,0.0005929035826466196,0.0008259724258400501,0.011858071652932392
CHEMBL2109,32,0.0006095178658903236,0.0007312378540060999,0.019504571708490355
CHEMBL2114,6,0.00046158456615268806,0.0005267415572554522,0.0027695073969161285
CHEMBL2116,41,0.0005850335262495247,0.0013920415506414,0.023986374576230516
CHEMBL2117,36,0.0005864199046652798,0.0013920415506414,0.02111111656795007
CHEMBL212,36,0.0006199495716895199,0.0008461166180533,0.022318184580822718
CHEMBL2120,69,0.0007127847716929262,0.00109881211935658,0.049182149246811906
CHEMBL2121,10,0.00044218941358777205,0.0005381322009644054,0.0044218941358777205
CHEMBL2123,6,0.00046158456615268806,0.0005267415572554522,0.0027695073969161285
CHEMBL2127,6,0.0004656943730207894,0.0005694207023272833,0.0027941662381247363
CHEMBL213,8,0.0004370172287566572,0.0005393420828279791,0.0034961378300532578
CHEMBL2131,3,0.0007103035421532726,0.0008811303418983,0.002130910626459818
CHEMBL2139,2,0.0005005055399724117,0.0005088081702690125,0.0010010110799448233
CHEMBL2147,14,0.0005802924374108667,0.0008504893563143417,0.008124094123752134
CHEMBL2148,24,0.0005507159388073219,0.0007791803970895334,0.013217182531375726
CHEMBL215,19,0.00043451348761140425,0.0006603210140613867,0.00825575626461668
CHEMBL2156,3,0.0004241782411827841,0.00045736965391635,0.0012725347235483522
CHEMBL2158,5,0.000629285521157989,0.0008562893258499,0.003146427605789945
CHEMBL2159,5,0.00046606154768184213,0.0004949681406336,0.0023303077384092107
CHEMBL216,8,0.0004424891218515513,0.0005914152898280321,0.0035399129748124106
CHEMBL2160,8,0.0004854763617541286,0.0005641791011353434,0.0038838108940330287
CHEMBL2161,6,0.0003801636112260509,0.00048270841405956066,0.0022809816673563053
CHEMBL2164,26,0.0006067603127137892,0.00101754655541145,0.01577576813055852
CHEMBL2167,142,0.0007903382650800621,0.0011512315270704,0.11222803364136882
CHEMBL217,5,0.0004205883958036453,0.000512515965027063,0.0021029419790182264
CHEMBL2171,48,0.0006147490270330802,0.0011544182125991,0.02950795329758785
CHEMBL218,6,0.00046158456615268806,0.0005267415572554522,0.0027695073969161285
CHEMBL2182,7,0.00044178151096389693,0.0005267415572554522,0.0030924705767472783
CHEMBL2184,6,0.000462524394951796,0.0005004671212250302,0.002775146369710776
CHEMBL2185,34,0.000538565952353882,0.0006336689435784999,0.01831124238003199
CHEMBL219,7,0.00044178151096389693,0.0005267415572554522,0.0030924705767472783
CHEMBL2193,9,0.00045861470757911724,0.0005641791011353434,0.004127532368212055
CHEMBL2194,5,0.00040683087446690016,0.00048270841405956066,0.0020341543723345007
CHEMBL220,8,0.0004949467046784768,0.0006371887289965167,0.003959573637427815
CHEMBL2200,6,0.0004903482559826716,0.0005758943219129615,0.00294208953589603
