drug,n_pathways_lumb,mean_pathway_score_lumb,max_pathway_score_lumb,sum_pathway_score_lumb,lumb_pathway_overlap_jaccard,n_shared_pathways_lumb,lumb_pathway_enrichment_similarity,n_families_lumb,n_targets_with_family_lumb
CHEMBL2084,3,0.0005794811250113,0.0006945027120148,0.001738443375034,0.0017055144968732,3,0.0616123342140787,1.0,1.0
CHEMBL2085,10,0.0005701481481475,0.0006673093966932,0.005701481481475,0.0056850483229107,10,0.2020667383228078,1.0,1.0
CHEMBL2086,3,0.0004031887163101,0.0004786384692116,0.0012095661489303,0.0017055144968732,3,0.0428683469891393,1.0,1.0
CHEMBL2088,4,0.0004720739468859,0.0005491757597568,0.0018882957875439,0.0022740193291642,4,0.0669232675783397,1.0,1.0
CHEMBL209,11,0.0004295484141528,0.0005491757597568,0.0047250325556816,0.00625,11,0.1674603206373414,1.0,1.0
CHEMBL2094,7,0.0004870382393779,0.0005758713305384,0.0034092676756457,0.0039795338260375,7,0.1208281744885916,1.0,1.0
CHEMBL2099,8,0.0005132856150887,0.0005384383737071,0.0041062849207099,0.0045480386583285,8,0.1455312278480466,1.0,1.0
CHEMBL210,16,0.0005134762644105,0.0006620071675343,0.0082156202305692,0.0090960773166571,16,0.2911705648231784,1.0,1.0
CHEMBL2100,7,0.0003971042656021,0.0005292513098544,0.0027797298592152,0.0039750141964792,7,0.09851666586924,1.0,1.0
CHEMBL2102,4,0.0010291722371836,0.0013902905273324,0.0041166889487346,0.0022740193291642,4,0.1458999579781508,1.0,1.0
CHEMBL2104,10,0.0005015444044943,0.0005720022486338,0.0050154440449434,0.0056850483229107,10,0.1777528213842568,1.0,1.0
CHEMBL2105,6,0.0005694501544176,0.000770857492123,0.0034167009265061,0.0034032898468519,6,0.1210916170274048,1.0,1.0
CHEMBL2106,12,0.0005488993596378,0.0006730820851928,0.0065867923156541,0.0068220579874928,12,0.2334431223811714,1.0,1.0
CHEMBL2107,26,0.0005119877936542,0.0006412055921734,0.0133116826350099,0.0147811256395679,26,0.4717805890248792,1.0,1.0
CHEMBL2108,20,0.0006187760033133,0.0009505587778377,0.0123755200662663,0.0112803158488437,20,0.4386019638867521,1.0,1.0
CHEMBL2109,32,0.0006097124958843,0.00075223742059,0.0195107998682986,0.0181921546333143,32,0.691484082560984,1.0,1.0
CHEMBL2114,6,0.0004657888987291,0.0005265310806402,0.002794733392375,0.0034071550255536,6,0.0990484074909131,1.0,1.0
CHEMBL2116,41,0.0006028389110852,0.0013902905273324,0.0247163953544946,0.0232690124858115,41,0.875976078955455,1.0,1.0
CHEMBL2117,36,0.0006022510593278,0.0013902905273324,0.0216810381358027,0.0204313280363223,36,0.7683996999356341,1.0,1.0
CHEMBL212,36,0.0006226830264811,0.000852502719215,0.0224165889533216,0.0204661739624786,36,0.7944684252396859,1.0,1.0
CHEMBL2120,70,0.0006922298695317,0.0011055463398207,0.0484560908672245,0.0397953382603752,70,1.7173368474891195,1.0,1.0
CHEMBL2121,10,0.0004644580583722,0.0006945027120148,0.0046445805837224,0.0056850483229107,10,0.1646090147761797,,
CHEMBL2123,6,0.0004657888987291,0.0005265310806402,0.002794733392375,0.0034071550255536,6,0.0990484074909131,1.0,1.0
