,pagerank
MYO1C,0.00023457871252886343
RPS18,0.0002344445193582892
SGOL1,0.00023421336554845914
RPL23A,0.00023418334637349467
APC,0.00023410154807190612
PPP3CA,0.000234034109880195
HLA-C,0.00023397755999632152
TRPV1,0.00023373904827692427
CSPG5,0.00023366119915084824
PLIN1,0.00023355010228936308
RAD21,0.00023344513991342705
FJX1,0.00023331516340965972
PPAP2C,0.0002330910774252825
DDX58,0.00023302841247880868
HSPD1,0.00023281296493085098
TUBB2B,0.00023270216803161962
TIAM1,0.0002326081363721363
OLIG2,0.00023248751270265832
IL7R,0.00023246517256506462
RPS6,0.00023238718751781852
ADRBK1,0.00023235928178388175
RHO,0.00023223983980966546
FAS,0.00023221925270011228
RBBP8,0.00023221572482586765
KIF18A,0.00023212473684495875
LGALS3,0.00023184689267252804
CNR1,0.00023181922651211746
RPS3,0.00023180441900545794
HSPA2,0.00023171269857851835
FCGR2B,0.00023118659018922614
TALDO1,0.00023118444485653223
VIP,0.000231131192307733
LMNB1,0.0002311180213596768
EVPL,0.0002311041834223566
HLA-E,0.00023101377939386552
MBOAT2,0.00023093425914464958
B3GNT4,0.0002307209959037875
SCNN1G,0.0002306983312131517
ADCY6,0.00023063657673860394
H2AFB1,0.00023054507213637272
CYP2C9,0.00023052443862335258
SNRPN,0.00023044493030209464
IL4I1,0.000230409858958819
ESCO2,0.00023029964627229414
GPI,0.00023027649541449837
COL4A1,0.00023023499827902407
KCNA1,0.0002300725563039531
WNT5B,0.0002298444448521869
CNTNAP2,0.0002297938586304122
IMMP2L,0.00022961557867509505
NTS,0.00022960822400589696
FANCM,0.00022953369541196334
WNT9B,0.0002294628789070377
IRF3,0.000229049433955495
ERCC4,0.00022898204786667332
FGG,0.00022895089580998574
MC4R,0.00022876677676155025
HNF4A,0.00022864709282199947
EPHA2,0.0002284559459898319
STX4,0.00022816854797212257
H2AFJ,0.0002281643361260678
PPFIA3,0.00022806296077049733
ENPP3,0.00022774913782612277
COMT,0.00022772285278047083
ETV6,0.0002276835718029631
EPOR,0.00022745279613482032
RAPGEF3,0.0002273895517555622
CD274,0.0002272794020042751
TUBA4A,0.00022716900903759613
CKS1B,0.00022697956381111667
CXCR5,0.00022666364199499378
DNA2,0.00022658316712819682
CD40LG,0.0002264973493997142
STK11,0.00022630946600679677
CAPNS2,0.00022612908411525888
SLC2A4,0.00022603119711322927
ADAMTS14,0.0002258512343692551
TNNT3,0.0002256350992709557
RNF2,0.00022551233795281534
LDHA,0.0002253107901787077
SLURP1,0.00022501377754634345
HIST1H2AE,0.0002249860672078049
EPRS,0.00022491584195928618
CLTB,0.00022471844418647227
GRIN2D,0.0002246621658459736
ISG15,0.0002245456123989703
MAP2K4,0.00022433190700659226
WNT6,0.00022425806334215172
AKAP9,0.00022387729002897643
TGM1,0.00022387422941784777
NFASC,0.0002238254085155893
MYH3,0.00022377491844313517
ALDOA,0.0002237636531721777
NLGN1,0.00022370807005819902
NES,0.0002235792733725096
KCNB1,0.00022354256888316063
PTPN1,0.00022346569593955512
F2R,0.00022346115870560199
AGXT2,0.00022338272985945428
ST3GAL3,0.0002232970295527297
CEBPD,0.0002231877202515678
KCNQ3,0.00022315794620231814
PICK1,0.00022286530036008767
ROBO1,0.0002228631610218595
GPC4,0.00022273671825167053
DCC,0.000222694922239932
AKR1C3,0.00022254998623218565
CYP2B6,0.00022248357684058364
THBS2,0.00022248353851670922
ADH1B,0.0002223945665287187
ITK,0.00022237592602797384
TNNI3,0.00022232861877591965
CCR3,0.00022227102955242394
INCENP,0.00022221201080338442
GPC5,0.0002221993952780943
KCNAB2,0.00022202155082026517
GFRA1,0.00022195831931461427
