drug,lumb_pathway_overlap_jaccard,n_shared_pathways_lumb
CHEMBL4469,0.0028392958546280523,5
CHEMBL4478,0.0011363636363636363,2
CHEMBL4549,0.023877202956225127,42
CHEMBL4550,0.0028376844494892167,5
CHEMBL4551,0.007954545454545454,14
CHEMBL4573,0.0034110289937464467,6
CHEMBL4589,0.0022740193291642978,4
CHEMBL4605,0.001135718341851221,2
CHEMBL4607,0.003979533826037522,7
CHEMBL4608,0.005685048322910745,10
CHEMBL4617,0.0017045454545454545,3
CHEMBL4633,0.0017055144968732233,3
CHEMBL4708,0.0011370096645821489,2
CHEMBL4712,0.003970504821327283,7
CHEMBL4714,0.0034071550255536627,6
CHEMBL4715,0.003963759909399773,7
CHEMBL4716,0.0022740193291642978,4
CHEMBL4744,0.009653605905735378,17
CHEMBL4761,0.01023308698123934,18
CHEMBL4763,0.033541785105173395,59
CHEMBL4770,0.0017045454545454545,3
CHEMBL4777,0.003979533826037522,7
CHEMBL4790,0.0056785917092561046,10
CHEMBL4794,0.0017045454545454545,3
CHEMBL4805,0.01023308698123934,18
CHEMBL4808,0.0017006802721088435,3
CHEMBL4811,0.0011344299489506524,2
CHEMBL4812,0.0017055144968732233,3
CHEMBL4813,0.0056753688989784334,10
CHEMBL4815,0.003977272727272727,7
CHEMBL4816,0.04604889141557703,81
CHEMBL4820,0.0034071550255536627,6
CHEMBL4829,0.0056785917092561046,10
CHEMBL4832,0.006787330316742082,12
CHEMBL4833,0.0017045454545454545,3
CHEMBL4834,0.0016997167138810198,3
CHEMBL4835,0.0022740193291642978,4
CHEMBL4863,0.0028425241614553724,5
CHEMBL4865,0.007954545454545454,14
CHEMBL4866,0.005685048322910745,10
CHEMBL4867,0.003975014196479273,7
CHEMBL4868,0.0017055144968732233,3
CHEMBL4869,0.003979533826037522,7
CHEMBL4872,0.0017045454545454545,3
CHEMBL4873,0.0022740193291642978,4
CHEMBL4876,0.00511654349061967,9
CHEMBL4878,0.0068143100511073255,12
CHEMBL4880,0.0028425241614553724,5
CHEMBL4881,0.002840909090909091,5
CHEMBL4883,0.00340522133938706,6
CHEMBL4892,0.00511654349061967,9
CHEMBL4894,0.003979533826037522,7
CHEMBL4924,0.00625,11
CHEMBL4925,0.0017055144968732233,3
CHEMBL4928,0.029562251279135872,52
CHEMBL4939,0.0022740193291642978,4
CHEMBL4940,0.0017055144968732233,3
CHEMBL4941,0.005113636363636364,9
CHEMBL4942,0.0022740193291642978,4
CHEMBL4945,0.0017045454545454545,3
CHEMBL4947,0.0011363636363636363,2
CHEMBL4949,0.004540295119182747,8
CHEMBL4977,0.039795338260375214,70
CHEMBL4983,0.005110732538330494,9
CHEMBL4985,0.001135718341851221,2
CHEMBL5100,0.0011363636363636363,2
CHEMBL5103,0.01023308698123934,18
CHEMBL5113,0.0045480386583285955,8
CHEMBL5135,0.003409090909090909,6
CHEMBL5136,0.007959067652075043,14
CHEMBL5444,0.013644115974985787,24
