drug,tnbc_pathway_enrichment_similarity
CHEMBL239,0.0005080382831845243
CHEMBL2392,0.00047762049985387004
CHEMBL2399,0.0005059142350048937
CHEMBL240,0.00040615615031440005
CHEMBL2401,0.0005012399823772615
CHEMBL241,0.000514004185229875
CHEMBL2412,0.000654437171035814
CHEMBL2413,0.00046297661465015
CHEMBL2414,0.00043929187873829997
CHEMBL2419,0.00046970217324712504
CHEMBL242,0.000565673298056375
CHEMBL2421,0.0004919309140577
CHEMBL2428,0.00046703078581827146
CHEMBL2430,0.00061434883230985
CHEMBL2433,0.0004594303946524334
CHEMBL2434,0.0004611900858704818
CHEMBL2438,0.0005195853048896333
CHEMBL2439,0.00048267972041347504
CHEMBL244,0.0004059660932771916
CHEMBL2441,0.0004613545706043667
CHEMBL2442,0.00048533779058124534
CHEMBL2443,0.0005357269940784167
CHEMBL2447,0.0004904888349882501
CHEMBL245,0.00045841099971721664
CHEMBL2457,0.00040157662937526
CHEMBL246,0.0004341334662183125
CHEMBL2465,0.0004904888349882501
CHEMBL2468,0.0005899608847318333
CHEMBL2469,0.0004904888349882501
CHEMBL2476,0.0004758695217614
CHEMBL2478,0.0
CHEMBL248,0.0006085506027392943
CHEMBL2484,0.0004926539126606
CHEMBL2487,0.0005791811611736713
CHEMBL249,0.0005111420649432546
CHEMBL2490,0.0004570297541719572
CHEMBL2492,0.0004926539126606
CHEMBL2493,0.0005101380927577667
CHEMBL2494,0.0004556734094232909
CHEMBL2498,0.0006957271885372956
CHEMBL250,0.0005020236973519143
CHEMBL2502,0.00040363796898726
CHEMBL2503,0.0005479499638963666
CHEMBL2506,0.0006863586222632557
CHEMBL2508,0.0005419136147784679
CHEMBL251,0.0005015299713633751
CHEMBL2514,0.00046877839906287144
CHEMBL2517,0.0004908652643524333
CHEMBL252,0.00046877839906287144
CHEMBL2524,0.00047275010573783334
CHEMBL2527,0.0006475054108221167
CHEMBL253,0.00045877805553723336
CHEMBL2531,0.00044791279288320003
CHEMBL2534,0.0005894408019459146
CHEMBL2536,0.0005549354842440562
CHEMBL254,0.0004861197032433286
CHEMBL255,0.0004899328346321572
CHEMBL2552,0.0004516640176781857
CHEMBL2553,0.000608276513644616
CHEMBL2559,0.00039233980157743996
CHEMBL256,0.00045877805553723336
CHEMBL2575,0.00052999016192547
CHEMBL258,0.0005935981976306529
CHEMBL2581,0.0005122147958127
CHEMBL2582,0.0006076650664310063
CHEMBL259,0.00047744313337567
CHEMBL2595,0.00042591490658603335
CHEMBL2597,0.0005636465716864586
CHEMBL2599,0.0005819460791700298
CHEMBL2600,0.0004999709101184389
CHEMBL2608,0.00076615138183281
CHEMBL2609,0.0005007331275348333
CHEMBL2626,0.0004602019296473917
CHEMBL2632,0.0005248002505827286
CHEMBL2634,0.0006430175368815115
CHEMBL264,0.00041743604156454004
CHEMBL2641,0.0003964369300846333
CHEMBL2650,0.00044476492009188235
CHEMBL2652,0.00046754874187303753
CHEMBL2655,0.000456468061641213
CHEMBL2656,0.00059432840099055
CHEMBL267,0.0007222614101290262
CHEMBL268,0.0004947532567534785
CHEMBL2692,0.0005605883661442667
CHEMBL271,0.0005469819903114304
CHEMBL2736,0.0004117450651781111
CHEMBL274,0.0004931503602770421
CHEMBL275,0.00047560779125910003
CHEMBL2754,0.0005959792818789531
CHEMBL278,0.0005188801035058118
CHEMBL279,0.0005659678237755222
CHEMBL2796,0.00056448276371835
CHEMBL280,0.0004640115176686363
CHEMBL281,0.0004687648727474
CHEMBL2835,0.0006100751936824482
CHEMBL2847,0.0005080382831845243
CHEMBL2849,0.0006848032064288563
CHEMBL2882,0.0004506568414634143
CHEMBL2883,0.0005271482086373001
CHEMBL2885,0.0004790010121981
CHEMBL2886,0.00066904756163568
CHEMBL2887,0.0005476154405403922
CHEMBL2888,0.00044777978247696667
CHEMBL2896,0.0005428956796375953
CHEMBL2897,0.0006239455744503729
CHEMBL2918,0.0005463814255495254
CHEMBL2938,0.00047419036288319266
CHEMBL2940,0.0007230050196466001
CHEMBL2959,0.0005441499207866285
CHEMBL2960,0.00045929962839549616
CHEMBL2963,0.00043097955979435004
CHEMBL2964,0.0006418582042516
CHEMBL2971,0.0006327429559777507
CHEMBL2972,0.000590084211046225
CHEMBL2979,0.00047597703479654004
CHEMBL3023,0.00042591490658603335
CHEMBL3024,0.0006070812175297666
CHEMBL3025,0.0004790010121981
CHEMBL3028,0.00077592542010655
CHEMBL3030,0.000505800347675978
CHEMBL3038,0.00044033979297470005
CHEMBL3040,0.0004947415048161268
CHEMBL3043,0.00059432840099055
CHEMBL3076,0.0005359971141433751
CHEMBL3079,0.00040932359095326664
CHEMBL3080,0.0005195853048896333
