drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma,luma_pathway_overlap_jaccard,n_shared_pathways_luma,luma_pathway_enrichment_similarity
CHEMBL2105,10,0.000131173203467,0.0001979151195056,0.0013117320346703,0.0037537537537537,10,0.0296188112801366
CHEMBL2106,12,0.0001793251615624,0.0002759009444309,0.0021519019387488,0.0045045045045045,12,0.0434326171613341
CHEMBL2107,26,0.0002538644854546,0.0007037016383753,0.0066004766218221,0.0097597597597597,26,0.0957354610532301
CHEMBL2108,34,0.0002428337251684,0.000470767231136,0.0082563466557261,0.0127627627627627,34,0.1037293701093391
CHEMBL2109,32,0.0002744342113863,0.0004133905407487,0.0087818947643637,0.012012012012012,32,0.1071952628854937
CHEMBL2114,8,0.0001532473505726,0.0001987411653855,0.0012259788045808,0.003003003003003,8,0.030991098060998
CHEMBL2116,44,0.0002336128192524,0.0004027674362933,0.0102789640471063,0.0165165165165165,44,0.1106019360989923
CHEMBL2117,39,0.0002315844859923,0.0004027674362933,0.0090317949537022,0.0146396396396396,39,0.1038047228463371
CHEMBL212,36,0.0003583744419541,0.0006002981992958,0.0129014799103496,0.0135135135135135,36,0.156446085665947
CHEMBL2120,70,0.0004072049923344,0.0006734795195417,0.0285043494634134,0.0262762762762762,70,0.2437594412014666
CHEMBL2121,10,0.0001222614275326,0.0001513597560765,0.0012226142753261,0.0037537537537537,10,0.0266979088255133
CHEMBL2123,8,0.0001570024474432,0.0001987411653855,0.0012560195795463,0.003003003003003,8,0.0313346570665519
CHEMBL2127,6,0.0001900623932059,0.0003188360018854,0.0011403743592355,0.0022522522522522,6,0.0337033727065601
CHEMBL213,8,0.0001684894595567,0.0002255186617354,0.0013479156764543,0.003003003003003,8,0.0331305194113993
CHEMBL2131,4,0.0001152947465137,0.0001812861442635,0.0004611789860548,0.0015015015015015,4,0.0175545738454195
CHEMBL2139,2,0.0001707296879384,0.0001924778916455,0.0003414593758769,0.0007507507507507,2,0.0165602047125203
CHEMBL2147,14,0.0003769743415717,0.0008350761604668,0.0052776407820038,0.0052552552552552,14,0.1096242710607829
CHEMBL2148,24,0.0003847788677605,0.0006694260180606,0.0092346928262531,0.009009009009009,24,0.1370611609500722
CHEMBL215,29,0.0001770477295042,0.0004326422400115,0.0051343841556239,0.0108858858858858,29,0.0703904941162446
CHEMBL2156,3,0.0001553281081002,0.000184378690462,0.0004659843243008,0.0011261261261261,3,0.018499834240471
CHEMBL2158,5,0.0002359857583388,0.0004076710515515,0.0011799287916944,0.0018768768768768,5,0.0384460204009343
CHEMBL2159,6,0.0001301833490602,0.0001662688169459,0.0007811000943614,0.0022522522522522,6,0.0219934350349485
CHEMBL216,8,0.0001644690180639,0.0002202894059907,0.0013157521445113,0.003003003003003,8,0.0325327128117695
CHEMBL2160,9,0.0001414228930372,0.0001816104504855,0.0012728060373352,0.0033783783783783,9,0.0293978533452587
CHEMBL2161,7,0.0001235282434967,0.0001488907831645,0.0008646977044773,0.0026276276276276,7,0.02265461590257
CHEMBL2164,26,0.0002369733443811,0.0004137869959926,0.0061613069539096,0.0097597597597597,26,0.0861638258688099
CHEMBL2167,142,0.0005962915932247,0.0013839733255984,0.0846734062379177,0.0533033033033033,142,0.5315266036501812
CHEMBL217,6,0.0001685280093638,0.0002085537917219,0.0010111680561832,0.0022522522522522,6,0.0285868568945137
CHEMBL2171,48,0.0002934912495899,0.0009257114765237,0.0140875799803191,0.018018018018018,48,0.1501693201378272
CHEMBL218,6,0.0001800015714876,0.0001987411653855,0.0010800094289256,0.0022522522522522,6,0.0301663564488745
CHEMBL2182,8,0.000163874148169,0.0001987411653855,0.0013109931853524,0.003003003003003,8,0.0321486128300493
CHEMBL2184,10,0.0001610294123339,0.0002488679233123,0.0016102941233394,0.0037537537537537,10,0.0361080050201016
CHEMBL2185,34,0.0002409647686754,0.0003626425465641,0.0081928021349659,0.0127627627627627,34,0.0995373623572202
CHEMBL219,8,0.000175260397316,0.0002085537917219,0.001402083178528,0.003003003003003,8,0.0342199094248691
CHEMBL2193,12,0.0001155075043506,0.0001816104504855,0.0013860900522076,0.0045045045045045,12,0.0291352421576437
CHEMBL2194,6,0.0001197218363032,0.0001503631298975,0.0007183310178194,0.0022522522522522,6,0.0208529358259967
CHEMBL220,11,0.0001474602022895,0.0002233957848034,0.0016220622251855,0.0041291291291291,11,0.035253591598401
CHEMBL2200,7,0.0002196987899853,0.0003597144433905,0.0015378915298974,0.0026276276276276,7,0.0413644309122181
