drug,luma_pathway_enrichment_similarity
CHEMBL4876,0.051949213073272056
CHEMBL4878,0.04607858183980983
CHEMBL4880,0.02264271826784056
CHEMBL4881,0.027139005771791132
CHEMBL4883,0.030802359813761924
CHEMBL4892,0.03524492908583139
CHEMBL4894,0.032561501095598425
CHEMBL4924,0.06223377738423684
CHEMBL4925,0.014144107653318777
CHEMBL4928,0.1469440715995952
CHEMBL4939,0.028490174278803085
CHEMBL4940,0.014150822843643718
CHEMBL4941,0.041952868374087314
CHEMBL4942,0.02413010355571489
CHEMBL4945,0.030214434537498294
CHEMBL4947,0.011359317171520004
CHEMBL4949,0.02746115038121382
CHEMBL4977,0.197792319594052
CHEMBL4983,0.05380728655255129
CHEMBL4985,0.015444839069380066
CHEMBL5100,0.013020776328948137
CHEMBL5103,0.09039978762606006
CHEMBL5113,0.03634205763404332
CHEMBL5135,0.02808075725985809
CHEMBL5136,0.05459088519007343
CHEMBL5444,0.0681195042099898
