drug_chembl_id,rw_mean_LumB,rw_max_LumB
CHEMBL4763,0.000217126775598,0.000217126775598
CHEMBL4770,9.730134145887866e-05,9.730134145887866e-05
CHEMBL4777,4.817759414171203e-05,4.817759414171203e-05
CHEMBL4790,0.0001061192162617,0.0001061192162617
CHEMBL4794,0.0002406097623941,0.0002406097623941
CHEMBL4805,0.0001068906948863,0.0001068906948863
CHEMBL4806,1.0666444997001278e-05,1.0666444997001278e-05
CHEMBL4808,0.000179915244087,0.000179915244087
CHEMBL4811,8.04752459797736e-05,8.04752459797736e-05
CHEMBL4812,7.054103804714927e-05,7.054103804714927e-05
CHEMBL4813,0.0001594210448443,0.0001594210448443
CHEMBL4815,1.0283851795162915e-05,1.0283851795162915e-05
CHEMBL4816,0.0003486317419379,0.0003486317419379
CHEMBL4820,5.349703585324647e-05,5.349703585324647e-05
CHEMBL4829,0.0001089172710048,0.0001089172710048
CHEMBL4832,0.0001515633407084,0.0001515633407084
CHEMBL4833,0.000112064298356,0.000112064298356
CHEMBL4834,7.51601954855018e-05,7.51601954855018e-05
CHEMBL4835,0.0002213086822365,0.0002213086822365
CHEMBL4863,6.720251855932399e-05,6.720251855932399e-05
CHEMBL4865,0.000133786741437,0.000133786741437
CHEMBL4866,0.0001399734833372,0.0001399734833372
CHEMBL4867,4.138252695950934e-05,4.138252695950934e-05
CHEMBL4868,2.0909604476873435e-05,2.0909604476873435e-05
CHEMBL4869,0.0002860300734159,0.0002860300734159
CHEMBL4872,0.0001630075973907,0.0001630075973907
CHEMBL4873,2.9120820280389145e-05,2.9120820280389145e-05
CHEMBL4876,0.0002865917251111,0.0002865917251111
CHEMBL4878,0.0001622687928723,0.0001622687928723
CHEMBL4880,0.0002433505951672,0.0002433505951672
CHEMBL4881,0.0001356845334915,0.0001356845334915
CHEMBL4883,0.000249100227186,0.000249100227186
CHEMBL4892,8.158303733240181e-05,8.158303733240181e-05
CHEMBL4894,5.685676992221859e-05,5.685676992221859e-05
CHEMBL4924,5.1744865131541856e-05,5.1744865131541856e-05
CHEMBL4925,0.0001088554293384,0.0001088554293384
CHEMBL4928,0.0003150405936063,0.0003150405936063
CHEMBL4939,6.906879990820532e-05,6.906879990820532e-05
CHEMBL4940,0.0001960849418578,0.0001960849418578
CHEMBL4941,3.2915656289449495e-05,3.2915656289449495e-05
CHEMBL4942,9.266812520652752e-05,9.266812520652752e-05
CHEMBL4945,6.181966373668901e-05,6.181966373668901e-05
CHEMBL4947,0.0001213319467119,0.0001213319467119
CHEMBL4949,7.47030888687795e-05,7.47030888687795e-05
CHEMBL4977,0.0009909017689052,0.0009909017689052
CHEMBL4983,0.0001749532467167,0.0001749532467167
CHEMBL4985,0.0001315450195648,0.0001315450195648
CHEMBL5100,7.857133001366558e-05,7.857133001366558e-05
CHEMBL5103,8.934107500829272e-05,8.934107500829272e-05
CHEMBL5113,3.928276844039148e-05,3.928276844039148e-05
CHEMBL5135,0.0002692189627221,0.0002692189627221
CHEMBL5136,3.152991473088336e-05,3.152991473088336e-05
CHEMBL5444,0.000108347860044,0.000108347860044
