drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma
CHEMBL2652,8,0.0392284998434289,0.1537842052477922,0.3138279987474312
CHEMBL2655,46,0.02056975755545209,0.1537842052477922,0.9462088475507963
CHEMBL2656,2,0.02554675603832635,0.0451741251076365,0.0510935120766527
CHEMBL267,168,0.020884567730193145,0.1537842052477922,3.5086073786724485
CHEMBL268,14,0.039013435836169744,0.1097527112367198,0.5461881017063764
CHEMBL2692,3,0.06427435862153087,0.1537842052477922,0.19282307586459263
CHEMBL271,22,0.038086682936152964,0.1537842052477922,0.8379070245953651
CHEMBL2736,8,0.03518483533247042,0.1537842052477922,0.28147868265976334
CHEMBL274,19,0.04296471162341944,0.1537842052477922,0.8163295208449692
CHEMBL275,6,0.04470751185100702,0.1537842052477922,0.2682450711060421
CHEMBL2754,32,0.024863578507600497,0.1262818772289532,0.7956345122432159
CHEMBL278,16,0.05257886881068564,0.1262818772289532,0.8412619009709702
CHEMBL279,18,0.03542549748485172,0.1537842052477922,0.637658954727331
CHEMBL2796,10,0.0451626678930484,0.1262818772289532,0.451626678930484
CHEMBL280,11,0.027542316957008053,0.086774286801405,0.3029654865270886
CHEMBL281,2,0.02886908712927225,0.0451741251076365,0.0577381742585445
CHEMBL2835,56,0.022456203329653528,0.1537842052477922,1.2575473864605975
CHEMBL2847,33,0.024255869275260435,0.0978185915307112,0.8004436860835944
CHEMBL2849,16,0.02084727260290975,0.1262818772289532,0.333556361646556
CHEMBL2882,6,0.045540954622685016,0.1537842052477922,0.2732457277361101
CHEMBL2883,7,0.0217976634152913,0.0451741251076365,0.1525836439070391
CHEMBL2885,1,0.0451741251076365,0.0451741251076365,0.0451741251076365
CHEMBL2886,10,0.026580066454029782,0.1262818772289532,0.2658006645402978
CHEMBL2887,13,0.028868762333859585,0.1262818772289532,0.3752939103401746
CHEMBL2888,5,0.05396919894516115,0.1537842052477922,0.2698459947258057
CHEMBL2896,22,0.03230083600723866,0.1537842052477922,0.7106183921592505
CHEMBL2897,37,0.0250886869071122,0.1262818772289532,0.9282814155631514
CHEMBL2918,79,0.02195561859192092,0.1537842052477922,1.7344938687617528
CHEMBL2938,27,0.02138655393862329,0.1537842052477922,0.5774369563428288
CHEMBL2940,9,0.05280307930970876,0.1537842052477922,0.4752277137873788
CHEMBL2959,7,0.03774018084848156,0.1097527112367198,0.2641812659393709
CHEMBL2960,51,0.019478652233094793,0.1537842052477922,0.9934112638878344
CHEMBL2963,4,0.007716367734630126,0.0192867775554466,0.030865470938520503
CHEMBL2964,36,0.028754679933290325,0.1537842052477922,1.0351684775984518
CHEMBL2971,65,0.024000976813971255,0.1537842052477922,1.5600634929081316
CHEMBL2972,4,0.013906400703357349,0.0451741251076365,0.055625602813429396
CHEMBL2979,5,0.04053019753932158,0.1097527112367198,0.2026509876966079
CHEMBL3023,2,0.0322371326794133,0.0451741251076365,0.0644742653588266
CHEMBL3024,51,0.013324909723299213,0.1537842052477922,0.6795703958882598
CHEMBL3025,1,0.0451741251076365,0.0451741251076365,0.0451741251076365
CHEMBL3028,4,0.0273280305715546,0.0600752921190352,0.1093121222862184
CHEMBL3030,50,0.02425160102571427,0.1537842052477922,1.2125800512857134
CHEMBL3038,2,0.0540988665101652,0.0605095401637408,0.1081977330203304
CHEMBL3040,15,0.011950169032792701,0.0428796480328572,0.17925253549189052
CHEMBL3043,2,0.02554675603832635,0.0451741251076365,0.0510935120766527
CHEMBL3076,4,0.04684113607213682,0.1262818772289532,0.1873645442885473
CHEMBL3079,3,0.017512999605144835,0.0451741251076365,0.0525389988154345
CHEMBL3080,3,0.058966148767198696,0.1097527112367198,0.1768984463015961
CHEMBL3123,3,0.007672913117277966,0.0119355972037564,0.0230187393518339
CHEMBL3125,5,0.0398002355517132,0.0978185915307112,0.199001177758566
CHEMBL3126,6,0.03724522862357057,0.1097527112367198,0.2234713717414234
CHEMBL3142,11,0.028838459126036053,0.1097527112367198,0.3172230503863966
CHEMBL3143,15,0.026056644625639027,0.1262818772289532,0.39084966938458543
CHEMBL3155,8,0.037861842596958586,0.1537842052477922,0.3028947407756687
CHEMBL3157,8,0.03864979036336835,0.1537842052477922,0.3091983229069468
CHEMBL3164,48,0.019946417138578924,0.1537842052477922,0.9574280226517883
CHEMBL3167,6,0.01173100655935525,0.0451741251076365,0.0703860393561315
CHEMBL3191,6,0.046801030309560454,0.1537842052477922,0.2808061818573627
CHEMBL3201,9,0.011558283505865356,0.0451741251076365,0.1040245515527882
CHEMBL3230,6,0.04662086121228543,0.1537842052477922,0.2797251672737126
