protein1,protein2,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining,combined_score,gene1,gene2
9606.ENSP00000272317,9606.ENSP00000416429,0,0,0,978,988,0,467,999,RPS27A,RPL32
9606.ENSP00000272317,9606.ENSP00000336701,0,0,0,0,88,900,54,906,RPS27A,RAD51C
9606.ENSP00000272317,9606.ENSP00000400467,0,0,0,984,996,0,513,999,RPS27A,RPL9
9606.ENSP00000272317,9606.ENSP00000471455,0,0,0,65,872,0,0,874,RPS27A,CCDC124
9606.ENSP00000272317,9606.ENSP00000428085,0,0,0,984,988,0,290,999,RPS27A,RPL30
9606.ENSP00000272317,9606.ENSP00000364261,0,0,0,0,0,900,57,901,RPS27A,OTUD3
9606.ENSP00000272317,9606.ENSP00000354739,0,0,0,974,988,0,444,999,RPS27A,RPL12
9606.ENSP00000272317,9606.ENSP00000424827,0,0,0,59,982,600,124,993,RPS27A,NEDD4
9606.ENSP00000272317,9606.ENSP00000464030,0,0,0,0,316,650,90,763,RPS27A,IKBKE
9606.ENSP00000272317,9606.ENSP00000407586,0,0,0,0,164,900,113,919,RPS27A,HRAS
9606.ENSP00000272317,9606.ENSP00000341292,0,0,0,0,0,900,74,903,RPS27A,WNK1
9606.ENSP00000272317,9606.ENSP00000429084,0,0,0,64,867,0,160,886,RPS27A,UBR5
9606.ENSP00000272317,9606.ENSP00000275493,0,0,0,0,497,600,140,811,RPS27A,EGFR
9606.ENSP00000272317,9606.ENSP00000472469,0,0,0,948,988,900,402,999,RPS27A,RPS28
9606.ENSP00000272317,9606.ENSP00000269305,0,0,0,62,984,900,319,998,RPS27A,TP53
9606.ENSP00000272317,9606.ENSP00000258149,0,0,0,0,974,900,304,998,RPS27A,MDM2
9606.ENSP00000272317,9606.ENSP00000273261,0,0,0,0,101,900,0,906,RPS27A,LRIG1
9606.ENSP00000272317,9606.ENSP00000360215,0,0,0,62,0,900,0,902,RPS27A,ZBP1
9606.ENSP00000272317,9606.ENSP00000311121,0,0,0,65,385,900,146,944,RPS27A,PSMA8
9606.ENSP00000272317,9606.ENSP00000301295,0,0,0,0,0,900,0,900,RPS27A,NLRP4
9606.ENSP00000272317,9606.ENSP00000452909,0,0,0,937,988,0,108,999,RPS27A,RPL28
9606.ENSP00000272317,9606.ENSP00000354669,0,0,0,62,823,0,58,830,RPS27A,FAM63A
9606.ENSP00000272317,9606.ENSP00000370555,0,0,0,53,0,900,0,901,RPS27A,GYG2
9606.ENSP00000272317,9606.ENSP00000358997,0,0,0,0,316,900,113,934,RPS27A,IRAK1
9606.ENSP00000272317,9606.ENSP00000464342,0,0,0,947,988,0,618,999,RPS27A,RPL36
9606.ENSP00000272317,9606.ENSP00000479169,0,0,0,62,218,600,107,702,RPS27A,HIST1H2BH
9606.ENSP00000272317,9606.ENSP00000451974,0,0,0,0,88,900,54,906,RPS27A,XRCC3
9606.ENSP00000272317,9606.ENSP00000379441,0,0,0,0,0,900,74,903,RPS27A,JMY
9606.ENSP00000272317,9606.ENSP00000294304,0,0,0,0,0,900,45,900,RPS27A,LRP5
9606.ENSP00000272317,9606.ENSP00000462333,0,0,0,0,0,900,43,900,RPS27A,ENGASE
9606.ENSP00000272317,9606.ENSP00000246914,0,0,0,0,0,900,0,900,RPS27A,WNK4
9606.ENSP00000272317,9606.ENSP00000263056,0,0,0,0,0,900,52,901,RPS27A,MAP3K8
9606.ENSP00000272317,9606.ENSP00000418960,0,0,0,0,407,900,108,942,RPS27A,BRCA1
9606.ENSP00000272317,9606.ENSP00000253108,0,0,0,365,906,600,95,975,RPS27A,EIF3G
9606.ENSP00000272317,9606.ENSP00000260408,0,0,0,0,0,900,0,900,RPS27A,ADAM10
9606.ENSP00000272317,9606.ENSP00000419117,0,0,0,986,988,0,604,999,RPS27A,RPL35A
9606.ENSP00000272317,9606.ENSP00000355865,0,0,0,0,913,800,52,982,RPS27A,PARK2
9606.ENSP00000272317,9606.ENSP00000296328,0,0,0,65,595,900,69,960,RPS27A,UBXN7
9606.ENSP00000272317,9606.ENSP00000303158,0,0,0,0,0,900,0,900,RPS27A,CCDC8
9606.ENSP00000272317,9606.ENSP00000238994,0,0,0,0,0,900,0,900,RPS27A,PPP1R3C
9606.ENSP00000272317,9606.ENSP00000368169,0,0,0,0,59,900,67,904,RPS27A,DVL1
9606.ENSP00000272317,9606.ENSP00000464813,0,0,0,985,988,0,426,999,RPS27A,RPL27
9606.ENSP00000272317,9606.ENSP00000341094,0,0,0,52,151,900,49,913,RPS27A,HIST1H2AD
9606.ENSP00000272317,9606.ENSP00000261845,0,0,0,0,79,900,0,903,RPS27A,MAPK6
9606.ENSP00000272317,9606.ENSP00000310572,0,0,0,280,906,900,320,994,RPS27A,PSMC5
9606.ENSP00000272317,9606.ENSP00000348089,0,0,0,0,813,0,71,819,RPS27A,ERCC6
9606.ENSP00000272317,9606.ENSP00000284523,0,0,0,0,0,900,67,902,RPS27A,WNT3A
9606.ENSP00000272317,9606.ENSP00000216037,0,0,0,0,800,0,48,801,RPS27A,XBP1
9606.ENSP00000272317,9606.ENSP00000368458,0,0,0,109,939,600,89,977,RPS27A,PCNA
9606.ENSP00000272317,9606.ENSP00000228682,0,0,0,0,170,900,74,916,RPS27A,GLI1
