drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma,n_pathways_lumb,mean_pathway_score_lumb,max_pathway_score_lumb,sum_pathway_score_lumb,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc
CHEMBL1944,14,0.0284115425816074,0.1097527112367198,0.3977615961425036,14,0.0005362926780927,0.0008674914754998,0.0075080974932986,14,0.0005242033179733,0.0008515685639294,0.0073388464516268,14,0.0005218639640378,0.0008203549520406,0.0073060954965294
CHEMBL1947,9,0.0454037116269816,0.086774286801405,0.4086334046428351,9,0.0005555268549038,0.0006164629036573,0.0049997416941349,9,0.0005450588025454,0.0006011135964601,0.0049055292229094,9,0.0005499407943611,0.0005994576540304,0.0049494671492506
CHEMBL1950,5,0.0366591985412494,0.0605095401637408,0.1832959927062471,7,0.0004899248364714,0.0005503254614852,0.0034294738552999,7,0.0004804943736102,0.0005446992870151,0.0033634606152715,7,0.0004830693954694,0.0005340445333531,0.0033814857682863
CHEMBL1951,13,0.0407344388106629,0.1262818772289532,0.5295477045386179,13,0.0004885892942221,0.0005895078388938,0.0063516608248883,13,0.0004841368027716,0.0005706336189103,0.0062937784360319,13,0.0004819319829463,0.0005773690305196,0.0062651157783026
CHEMBL1952,8,0.0191225984086639,0.0451741251076365,0.1529807872693113,8,0.0005187879663058,0.0005767540095035,0.0041503037304467,8,0.0005182943408041,0.0005797088551034,0.0041463547264334,8,0.0005240017647799,0.0005779818484811,0.0041920141182397
CHEMBL1957,14,0.0455546143004315,0.1537842052477922,0.6377646002060421,14,0.0006053348050461,0.0007546323944717,0.0084746872706455,14,0.0006119656609055,0.0007570550520603,0.0085675192526777,14,0.0006026712760892,0.0007525872165725,0.0084373978652501
CHEMBL1958,7,0.0106418463263067,0.0451741251076365,0.0744929242841473,6,0.0005039948410471,0.0005292513098544,0.0030239690462828,6,0.0004670567256626,0.0005106120661872,0.0028023403539757,6,0.0004722250379981,0.0005043894392236,0.0028333502279887
CHEMBL1959,11,0.0514589153989559,0.1262818772289532,0.5660480693885153,11,0.0005651349438563,0.0007285015022419,0.0062164843824195,11,0.0005487006554615,0.0006710660026337,0.0060357072100774,11,0.0005469646684968,0.0006813541149564,0.0060166113534652
CHEMBL1962,7,0.0456136279988029,0.1537842052477922,0.3192953959916209,7,0.0005363741571541,0.0008492473242828,0.0037546191000793,7,0.0005376888263197,0.0008384884579006,0.0037638217842384,7,0.0005305850386252,0.0008031264859969,0.0037140952703765
CHEMBL1963,7,0.0391383544888186,0.1537842052477922,0.2739684814217305,6,0.00047933461252,0.0005444404172623,0.0028760076751202,6,0.0004743437398784,0.0005393420828279,0.0028460624392705,6,0.0004733075810867,0.0005491911751487,0.0028398454865205
